seqName,errors,warnings,failedGenes
"FukuokaCity03-159","","",""
"HO101A/EV71/Kanagawa/2000","Unable to align: no seed matches","","<<ALL>>"
"738-Yamagata-00","","",""
"1268-Yamagata-03","","",""
"1469-Yamagata-03","","",""
"2317-Yamagata-06","","",""
"365","","",""
"16762","","",""
"10061","","",""
"13857","","",""
"3501","","",""
"1911","","",""
"2325","","",""
"2410","","",""
"2458","","",""
"2531","","",""
"2795","","",""
"DY2010-23","","",""
"DY2011-151","","",""
"SC10-256","","",""
"SC10-259","","",""
"EV71/22-0111/osaka.JPN/2010","","",""
"206-YN-2008","","",""
"183-YN-2010AFP","","",""
"EV71/Okinawa/207/2012","","",""
"EV71/25-1034/osaka.JPN/2013","","",""
"971-Yamagata-2000","","",""
"1669-Yamagata-2003","","",""
"1894-Yamagata-2009","","",""
"1930-Yamagata-2009","","",""
"2322-Yamagata-2009","","",""
"1039-Yamagata-2010","","",""
"1108-Yamagata-2010","","",""
"1305-Yamagata-2010","","",""
"1362-Yamagata-2010","","",""
"1801-Yamagata-2010","","",""
"1647-Yamagata-2012","","",""
"1808-Yamagata-2012","","",""
"1878-Yamagata-2012","","",""
"1888-Yamagata-2012","","",""
"1977-Yamagata-2012","","",""
"799-Yamagagta-2013","","",""
"933-Yamagata-2013","","",""
"TW/1499/98","","",""
"TW/1567/98","","",""
"TW/1929/98","","",""
"2301-MAA-9721C8","","",""
"2355-OK-97","","",""
"2381-MA-97","","",""
"9873-NM-89","","",""
"TW/253/86","Unable to align: no seed matches","","<<ALL>>"
"2849-TAI-98","","",""
"2862-TAI-98","","",""
"SB1647/SAR/00","","",""
"MY755/3/SAR/97","","",""
"16F/AUS/6/99","","",""
"17M/AUS/5/99","","",""
"25M/AUS/2/99","","",""
"2M/AUS/3/99","","",""
"7F/AUS/6/99","","",""
"2386/SIN/01","","",""
"N4643-TW-98","Unable to align: no seed matches","","<<ALL>>"
"N5202-TW-98","Unable to align: no seed matches","","<<ALL>>"
"N6174-TW-98","Unable to align: no seed matches","","<<ALL>>"
"N5385-TW-98","Unable to align: no seed matches","","<<ALL>>"
"N5698-TW-98","Unable to align: no seed matches","","<<ALL>>"
"H0358-TW-98","Unable to align: no seed matches","","<<ALL>>"
"M0267-TW-00","Unable to align: no seed matches","","<<ALL>>"
"0807-MAA-00","","",""
"0937-MAA-00","","",""
"0467-MAA-00","","",""
"SB9869-SAR-03","","",""
"5409-SYD-86","","",""
"shzh02-62","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"9902-SYD-01","","",""
"UNKNOWN-DI448745","Unable to align: no seed matches","","<<ALL>>"
"SB12736-SAR-03","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"E98046-TW","","",""
"E98551-TW","","",""
"AFP2001477-TW","","",""
"S0584TW-04","","",""
"N1614TW-04","","",""
"26M/AUS/4/99","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
