accession	name	segment	date	host	country	abbreviation	virus	strain
AB081393	HO101A/EV71/Kanagawa/2000	N/A	N/A	Human	N/a	Japan	N/A	HO101A/EV71/Kanagawa/2000
AB168005	Fukuoka City03-159	N/A	N/A	Unknown	N/a	Japan	N/A	FukuokaCity03-159
AB213620	738-Yamagata-00	N/A	N/A	Unknown	N/a	Japan	Enterovirus type 71	738-Yamagata-00
AB213636	1268-Yamagata-03	N/A	N/A	Unknown	N/a	Japan	Enterovirus type 71	1268-Yamagata-03
AB213637	1469-Yamagata-03	N/A	N/A	Unknown	N/a	Japan	Enterovirus type 71	1469-Yamagata-03
AB433873	2317-Yamagata-06	N/A	N/A	Unknown	N/a	Japan	71	2317-Yamagata-06
AB524267	365	N/A	2000	Unknown	2000	Netherlands	N/A	365
AB524281	10724	N/A	1966	Unknown	1966	Netherlands	N/A	10724
AB524108	16762	N/A	1973	Unknown	1973	Netherlands	N/A	16762
AB524121	10061	N/A	1986	Unknown	1986	Netherlands	N/A	10061
AB524144	13857	N/A	1986	Unknown	1986	Netherlands	N/A	13857
AB524192	3501	N/A	1991	Unknown	1991	Netherlands	N/A	3501
AB524319	1911	N/A	2007	Unknown	2007	Netherlands	N/A	1911
AB524233	2325	N/A	2007	Unknown	2007	Netherlands	N/A	2325
AB524234	2410	N/A	2007	Unknown	2007	Netherlands	N/A	2410
AB524235	2458	N/A	2007	Unknown	2007	Netherlands	N/A	2458
AB575943	2531	N/A	2007	Unknown	2007	Netherlands	N/A	2531
AB524256	2795	N/A	2007	Unknown	2007	Netherlands	N/A	2795
AB675638	DY2010-23	N/A	2010-04-15	Human	2010-04-15	China	N/A	DY2010-23
AB675651	DY2011-151	N/A	2011-06-22	Human	2011-06-22	China	N/A	DY2011-151
AB679738	SC10-256	N/A	2010-04-30	Human	2010-04-30	China	N/A	SC10-256
AB679739	SC10-259	N/A	2010-04-28	Human	2010-04-28	China	N/A	SC10-259
AB688700	EV71/22-0111/osaka.JPN/2010	N/A	2010	Human	2010	Japan	N/A	EV71/22-0111/osaka.JPN/2010
AB725676	206-YN-2008	N/A	2008	Human	2008	China	71	206-YN-2008
