accession	name	segment	date	host	country	abbreviation	virus	strain
AB081393	HO101A/EV71/Kanagawa/2000		20XX-XX-XX	Human	N/a	Japan		HO101A/EV71/Kanagawa/2000
AB168005	Fukuoka City03-159		20XX-XX-XX	Unknown	N/a	Japan		FukuokaCity03-159
AB213620	738-Yamagata-00		20XX-XX-XX	Unknown	N/a	Japan	Enterovirus type 71	738-Yamagata-00
AB213636	1268-Yamagata-03		20XX-XX-XX	Unknown	N/a	Japan	Enterovirus type 71	1268-Yamagata-03
AB213637	1469-Yamagata-03		20XX-XX-XX	Unknown	N/a	Japan	Enterovirus type 71	1469-Yamagata-03
AB433873	2317-Yamagata-06		20XX-XX-XX	Unknown	N/a	Japan	71	2317-Yamagata-06
AB524267	365		2000-XX-XX	Unknown	2000	Netherlands		365
AB524281	10724		1966-XX-XX	Unknown	1966	Netherlands		10724
AB524108	16762		1973-XX-XX	Unknown	1973	Netherlands		16762
AB524121	10061		1986-XX-XX	Unknown	1986	Netherlands		10061
AB524144	13857		1986-XX-XX	Unknown	1986	Netherlands		13857
AB524192	3501		1991-XX-XX	Unknown	1991	Netherlands		3501
AB524319	1911		2007-XX-XX	Unknown	2007	Netherlands		1911
AB524233	2325		2007-XX-XX	Unknown	2007	Netherlands		2325
AB524234	2410		2007-XX-XX	Unknown	2007	Netherlands		2410
AB524235	2458		2007-XX-XX	Unknown	2007	Netherlands		2458
AB575943	2531		2007-XX-XX	Unknown	2007	Netherlands		2531
AB524256	2795		2007-XX-XX	Unknown	2007	Netherlands		2795
AB675638	DY2010-23		2010-04-15	Human	2010-04-15	China		DY2010-23
AB675651	DY2011-151		2011-06-22	Human	2011-06-22	China		DY2011-151
AB679738	SC10-256		2010-04-30	Human	2010-04-30	China		SC10-256
AB679739	SC10-259		2010-04-28	Human	2010-04-28	China		SC10-259
AB688700	EV71/22-0111/osaka.JPN/2010		2010-XX-XX	Human	2010	Japan		EV71/22-0111/osaka.JPN/2010
AB725676	206-YN-2008		2008-XX-XX	Human	2008	China	71	206-YN-2008
AB740168	183-YN-2010AFP		2010-07-14	Human	2010-07-14	China		183-YN-2010AFP
AB902842	EV71/Okinawa/207/2012		2012-05-XX	Human	2012-05	Japan		EV71/Okinawa/207/2012
AB908262	EV71/25-1034/osaka.JPN/2013		2014-01-08	Human	2014-01-08	Japan		EV71/25-1034/osaka.JPN/2013
AB936437	971-Yamagata-2000		20XX-XX-XX	Unknown	N/a	Japan		971-Yamagata-2000
AB936463	1669-Yamagata-2003		20XX-XX-XX	Unknown	N/a	Japan		1669-Yamagata-2003
AB936496	1894-Yamagata-2009		20XX-XX-XX	Unknown	N/a	Japan		1894-Yamagata-2009
AB936497	1930-Yamagata-2009		20XX-XX-XX	Unknown	N/a	Japan		1930-Yamagata-2009
AB936504	2322-Yamagata-2009		20XX-XX-XX	Unknown	N/a	Japan		2322-Yamagata-2009
AB936510	1039-Yamagata-2010		20XX-XX-XX	Unknown	N/a	Japan		1039-Yamagata-2010
