accession	name	segment	date	host	country	abbreviation	virus	strain
DQ341362	SB12736-SAR-03		20XX-XX-XX	Unknown	N/a	Malaysia		SB12736-SAR-03
EU376005	26M/AUS/4/99		20XX-XX-XX	Unknown	N/a	Australia		26M/AUS/4/99
FJ607334	1/SHENZHEN/08/China/HFMD/2008		2008-05-XX	Human	2008-05	China		1/SHENZHEN/08/China/HFMD/2008
FJ607335	4/SHENZHEN/08/China/HFMD/2008		2008-05-XX	Human	2008-05	China		4/SHENZHEN/08/China/HFMD/2008
FJ713137	Shanghai 036-2009		20XX-XX-XX	Unknown	N/a			Shanghai036-2009
GQ231928	TW/2639/04		20XX-XX-XX	Human	N/a	Taiwan		TW/2639/04
GQ231943	TW/96022/08		20XX-XX-XX	Human	N/a	Taiwan		TW/96022/08
GQ994989	Chongqing1-09-China		2009-04-XX	Human	2009-04	China		Chongqing1-09-China
HM002486	BJ110		2008-05-30	Human	2008-05-30	China		BJ110
HM002487	BJ303		2008-07-31	Human	2008-07-31	China		BJ303
HQ423143	KM186/09		2009-05-XX	Human	2009-05	China		KM186/09
HQ647167	EV054_07		2007-07-XX	Human	2007-07	Canada		EV054_07
HQ647169	EV090_07		2007-08-XX	Human	2007-08	Canada		EV090_07
HQ647178	EV082_07		2007-08-XX	Human	2007-08	Canada		EV082_07
HQ850973	003/XM/2010		2010-XX-XX	Human	2010	China		003/XM/2010
HQ882182	FY0805		2008-05-12	Human	2008-05-12	China	C4	FY0805
HQ891925	Shanghai 36-2009		2009-XX-XX	Human	2009	China		Shanghai36-2009
HQ891928	Shanghai 117-2009		2009-XX-XX	Human	2009	China		Shanghai117-2009
JF820316	BJ01		2010-02-XX	Human	2010-02	China	C4	BJ01
JF830007	EV71/Ningbo.CHN/065/2010		2010-06-XX	Human	2010-06	China		EV71/Ningbo.CHN/065/2010
JF894382	MP9-2		2011-03-05	Human	2011-03-05	China		MP9-2
JN020147	Luoyang/2011		2011-04-XX	Human	2011-04	China		Luoyang/2011
JN052925	Nanyang/2011-China		2011-04-XX	Human	2011-04	China		Nanyang/2011-China
JN544418	4643-TW98		1998-04-27	Human	1998-04-27	China	C2	4643-TW98
JN864022	EV71/Ningbo.CHN/087/2009		2010-XX-XX	Human	2010	China	C4	EV71/Ningbo.CHN/087/2009
JN992284	BRU/2006/35334		20XX-XX-XX	Mouse	N/a	Brunei		BRU/2006/35334
JQ074188	EV71/Jinan1004		2010-07-XX	Human	2010-07	China		EV71/Jinan1004
JQ708209	BJ		2010-05-05	Human	2010-05-05	China		BJ
JQ965759	540V/VNM/05		20XX-XX-XX	Unknown	N/a	Viet Nam		540V/VNM/05
JX025561	FY7VP5/AH/CHN/2008		2008-XX-XX	Human	2008	China		FY7VP5/AH/CHN/2008
JX678875	FY17.08-4/AH/CHN/2008		2008-04-XX	Human	2008-04	China	C4	FY17.08-4/AH/CHN/2008
JX678884	SD09-21/SD/CHN/2009		2009-03-30	Human	2009-03-30	China	C4	SD09-21/SD/CHN/2009
JX678886	SH-6/SH/CHN/2002		2002-XX-XX	Human	2002	China	C4	SH-6/SH/CHN/2002
JX986738	Wuhan1117/HuB/CHN/2011		2011-XX-XX	Human	2011	China	C4	Wuhan1117/HuB/CHN/2011
KF306101	C2-NHRIEV95528-TW-Jun-25-12		2012-06-25	Human	2012-06-25	Taiwan	C2	C2-NHRIEV95528-TW-Jun-25-12
KF501389	EV71/wuhan/3018/2010		2010-XX-XX	Human	2010	China	A	EV71/wuhan/3018/2010
KF543271	SEP4		2012-06-17	Human	2012-06-17	Cambodia	C4	SEP4
KT354870	N1745-TW08		2011-07-01	Human	2011-07-01	Taiwan		N1745-TW08
KF974792	M988-TW12		2012-XX-XX	Human	2012	Taiwan		M988-TW12
KF974796	M957-TW12		2012-XX-XX	Human	2012	Taiwan		M957-TW12
KJ186973	C4a-70365-TW-2010		2010-06-02	Human	2010-06-02	Taiwan	C4a	C4a-70365-TW-2010
KJ632499	wenzhou227		2011-XX-XX	Human	2011	China		wenzhou227
KJ686129	EV71/Homo sapiens/VNM/150/2012		2012-05-24	Human	2012-05-24	Viet Nam		EV71/Homosapiens/VNM/150/2012
