seqName,errors,warnings,failedGenes
"003/XM/2010","","",""
"01011Y","","",""
"02_0_023","","",""
"02_0_024","","",""
"02_0_035","","",""
"02_0_049","","",""
"02_0_060","","",""
"02_0_065","","",""
"02_0_068","","",""
"02_0_070","","",""
"02_0_071","","",""
"02_0_072","","",""
"02_0_079","","",""
"02_0_083","","",""
"02_0_090","","",""
"02_1_005","","",""
"02_1_008","","",""
"02_1_042","","",""
"02_1_043","","",""
"02_1_055","","",""
"02_1_065","","",""
"02_1_067","","",""
"02363_Thai_02","","",""
"03_0_002","","",""
"03_0_003","","",""
"03_KOR_00","","",""
"06_KOR_00","","",""
"0964/SYD/98","","",""
"1/SHENZHEN/08/China/HFMD/2008","","",""
"109/EV71/Wenzhou/CHN/2014","","",""
"1095_LPS1","","",""
"1095_org","","",""
"11/EV71/Wenzhou/CHN/2014","","",""
"116/EV71/Wenzhou/CHN/2014","","",""
"121/SHENZHEN/08/China/HFMD_Fatal/2008","","",""
"1235","","",""
"1245a/98/tw","","",""
"1M_AUS_12_00","","",""
"2006_52_9","","",""
"2007_07364","","",""
"2007_08747","","",""
"2008_00643","","",""
"2008_07776","","",""
"2008_43_16","","",""
"2009_02877","","",""
"2009_03531","","",""
"2010FJLY008","","",""
"202/Jingdezhen/China/HFMD_Severe/2011","","",""
"236_TW86","","",""
"237_TW86","","",""
"238_TW86","","",""
"244_TW86","","",""
"252_TW86","","",""
"266_TW86","","",""
"26M/AUS/4/99","","",""
"26M/AUS/4/99/GuaR1","","",""
"28/SHENZHEN/08/China/HFMD/2008","","",""
"306A","","",""
"306B","","",""
"3149","","",""
"35/Jingdezhen/China/HFMD_Severe/2011","","",""
"3799_SIN_98","","",""
"4/EV71/Wenzhou/CHN/2014","","",""
"4/SHENZHEN/08/China/HFMD/2008","","",""
"4643_TW98","","",""
"518_03F/SD/CHN/07","","",""
"521_18S/SD/CHN/07","","",""
"522_04T/SD/CHN/07","","",""
"523_05T/SD/CHN/07","","",""
"523_07T/SD/CHN/07","","",""
"540V/VNM/05","","",""
"5511_SIN_00","","",""
"605/SHENZHEN/08/China/HFMD_Severe/2008","","",""
"6F/AUS/6/99","","",""
"75_Yamagata_LPS1","","",""
"75_Yamagata_org","","",""
"7F_AUS_6_99","","",""
"804/NO/03","","",""
"87_2008_Xi'an_Shaanxi","","",""
"984","","",""
"A2011125","","",""
"AFP2001064/EV71/GX/CHN/2001","","",""
"AFP2001071/EV71/GX/CHN/2001","","",""
"AH01","","",""
"AH08/06","","",""
"Anhui1_09_China","","",""
"Anhui2007","","",""
"B5_03172_TW_2011","","",""
"B5_96015_TW_2012","","",""
"B5_NHRIH2011043_V110703172_TW_Nov_5_11","","",""
"BC08","","",""
"BJ","","",""
"BJ01","","",""
"BJ02","","",""
"BJ06_SJS06","","",""
"BJ08","","",""
"BJ08_Z004_3","","",""
"BJ08_Z011_4","","",""
"BJ08_Z020_1","","",""
"BJ08_Z025_5","","",""
"BJ09/07","","",""
"BJ110","","",""
"BJ293","","",""
"BJ303","","",""
"BJ366","","",""
"BJ393","","",""
"BJ398","","",""
"BJ462","","",""
"BrCr","","",""
"BJ67","","",""
"BJ97","","",""
"BRU/2006/35334","","",""
"BS","","",""
"BZ200805","","",""
"C1/FY08_C30_P11","","",""
"C1/FY08_C30_P9","","",""
"C2_NHRIEV95528_TW_Jun_25_12","","",""
"C2/FY08_C30","","",""
"C4","","",""
"C4a_01585_TW_2011","","",""
"C4a_70365_TW_2010","","",""
"C7/Osaka_LPS1","","",""
"C7/Osaka_org","","",""
"Chongqing1_09_China","","",""
"Chongqing2_09_China","","",""
"Chongqing3_09_China","","",""
"cmuh_050530_5","","",""
"CQ03_1/CQ/CHN/2003","","",""
"CSF_CH_06","","",""
"DL71","","",""
"DTID/ZJU_62","","",""
"DTID/ZJU_74","","",""
"E2002042_TW_CDC","","",""
"E2004104_TW_CDC","","",""
"E2005125_TW","","",""
"ENT/PM/SHA52","","",""
"ENT/PM/SHA71","","",""
"EV003_07","","",""
"EV034_06","","",""
"EV049_07","","",""
"EV053_07","","",""
"EV054_07","","",""
"EV063_04","","",""
"EV073_07","","",""
"EV082_07","","",""
"EV090_07","","",""
"EV123_07","","",""
"EV71_Hubei_09_China","","",""
"EV141_06","","",""
"EV124_07","Unable to align: no seed matches","","<<ALL>>"
"EV144_06","","",""
"EV71/9/97/SHA89","","",""
"EV71/Fuyang.Anhui.P.R.C/17.08/1","","",""
"EV71/Fuyang.Anhui.P.R.C/17.08/2","","",""
"EV71/Fuyang.Anhui.P.R.C/17.08/3","","",""
"EV71/GD10_12/2010","","",""
"EV71/GD10_45/2010","","",""
"EV71/GD10_7/2010","","",""
"EV71/GDFS/3/2008","","",""
"EV71/GDSG/17/2008","","",""
"EV71/Henan/106/2009","","",""
"EV71/Henan/294/2010","","",""
"EV71/Henan/399/2010","","",""
"EV71/HENAN/DC/2010","","",""
"EV71/Homo_sapiens/KHM/260/2012","","",""
"EV71/Homo_sapiens/KHM/268/2012","","",""
"EV71/Homo_sapiens/KHM/269/2012","","",""
"EV71/Homo_sapiens/KHM/271/2012","","",""
"EV71/Homo_sapiens/KHM/272/2012","","",""
"EV71/Homo_sapiens/KHM/274/2012","","",""
"EV71/Homo_sapiens/KHM/275/2012","","",""
"EV71/Homo_sapiens/KHM/277/2012","","",""
"EV71/Homo_sapiens/KHM/280/2012","","",""
"EV71/Homo_sapiens/KHM/284/2012","","",""
"EV71/Homo_sapiens/KHM/285/2012","","",""
"EV71/Homo_sapiens/KHM/287/2012","","",""
"EV71/Homo_sapiens/KHM/293/2012","","",""
"EV71/Homo_sapiens/KHM/295/2012","","",""
"EV71/Homo_sapiens/KHM/297/2012","","",""
"EV71/Homo_sapiens/KHM/298/2012","","",""
"EV71/Homo_sapiens/KHM/299/2012","","",""
"EV71/Homo_sapiens/KHM/300/2012","","",""
"EV71/Homo_sapiens/KHM/302/2012","","",""
"EV71/Homo_sapiens/KHM/304/2012","","",""
"EV71/Homo_sapiens/KHM/308/2012","","",""
"EV71/Homo_sapiens/KHM/309/2012","","",""
"EV71/Homo_sapiens/KHM/310/2012","","",""
"EV71/Homo_sapiens/KHM/311/2012","","",""
"EV71/Homo_sapiens/KHM/312/2012","","",""
"EV71/Homo_sapiens/KHM/313/2012","","",""
"EV71/Homo_sapiens/KHM/315/2013","","",""
"EV71/Homo_sapiens/KHM/316/2013","","",""
"EV71/Homo_sapiens/KHM/319/2013","","",""
"EV71/Homo_sapiens/KHM/330/2012","","",""
"EV71/Homo_sapiens/KHM/336/2012","","",""
