seqName,errors,warnings,failedGenes
"003/XM/2010","Unable to align: no seed matches","","<<ALL>>"
"02_0_023","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_024","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_035","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_049","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_060","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_065","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_068","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_070","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_071","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_072","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_079","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_083","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_0_090","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_005","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_008","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_042","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_043","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_055","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_065","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_067","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"02_1_075","","",""
"02_2009","","",""
"02363_Thai_02","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"03_0_002","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"03_0_003","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"03_KOR_00","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"06_2009","","",""
"06_KOR_00","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"07124/SD/CHN/07","","",""
"07ZAO+3/SD/CHN","","",""
"08_5/YN/CHN/2008","","",""
"08266/SD/CHN/08","","",""
"09_20/HuB/CHN/2009","","",""
"09_29H/HuB/CHN/2009","","",""
"09_32H/HuB/CHN/2009","","",""
"09_33T/HuB/CHN/2009","","",""
"09_3804","","",""
"09_40H/HuB/CHN/2009","","",""
"09281/SD/CHN/09","","",""
"0964/SYD/98","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"10_2009","","",""
"101842/GZ/2010/EV71","","",""
"1025/Rostov.RUS/2013","","",""
"103/LY/CHN/AM/10/EV71","","",""
"1039_Yamagata_2010","","",""
"104328/GZ/2010/EV71","","",""
"1056_Yamagata_2003","","",""
"108AS_2010","","",""
"1095_LPS1","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"1095_org","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"1095/Japan_97","Unable to align: no seed matches","","<<ALL>>"
"10TR_2010","","",""
"11_12","Unable to align: no seed matches","","<<ALL>>"
"11_13","Unable to align: no seed matches","","<<ALL>>"
"11_2","Unable to align: no seed matches","","<<ALL>>"
"11_7","Unable to align: no seed matches","","<<ALL>>"
"11_8","Unable to align: no seed matches","","<<ALL>>"
"11_9","Unable to align: no seed matches","","<<ALL>>"
"11_Henan_2014","","",""
"11/EV71/Wenzhou/CHN/2014","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"11/HeB/CHN/2008","","",""
"1102_Yamagata_2003","","",""
"1108_Yamagata_2010","","",""
"111_Yamagata_2013","","",""
"1111/GD/China/2010","","",""
"111411_BRU_06","","",""
"1117_Yamagata_2000","","",""
"11171/SD/CHN","","",""
"112_B_YN_2012HC","","",""
"11236/SD/CHN","","",""
"1127/GD/China/2010","","",""
"11317/SD/CHN","","",""
"1134/GD/China/2010","","",""
"1138_Yamagata_2003","","",""
"1145_Yamagata_2003","","",""
"11475C4/SD/CHN","","",""
"115970_BRU_06","","",""
"117/NX/CHN/2008","","",""
"118_Henan_2014","","",""
"1186_Yamagata_2003","","",""
"1196_Yamagata_2003","","",""
"1197_Yamagata_2003","","",""
"1201/NC/CHN/2012","","",""
"121/SHENZHEN/08/China/HFMD_Fatal/2008","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"1213845/GZ/2012/EV71","","",""
"12256/SD/CHN","","",""
"1232_Yamagata_2003","","",""
"1235","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"1238_Yamagata_2003","","",""
"1245a/98/tw","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"1269_Yamagata_2003","","",""
"128/LY/CHN/AM/10/EV71","","",""
"1302_Yamagata_2003","","",""
"1305_Yamagata_2010","","",""
"13061/SD/CHN","","",""
"13138/SD/CHN","","",""
"13164/SD/CHN","","",""
"13196/SD/CHN","","",""
"1320_Yamagata_2003","","",""
"1322103/GZ/2013/EV71","","",""
"1330_Yamagata_2003","","",""
"13384_EV71_RUS_2001","Unable to align: no seed matches","","<<ALL>>"
"13411/SD/CHN","","",""
"1358_Yamagata_2010","","",""
"1362_Yamagata_2010","","",""
"1372_Yamagata_2003","","",""
"1374_Yamagata_2003","","",""
"14_2009","","",""
"1404_Luan_CHN__08","","",""
"1407_Yamagata_2010","","",""
"1416_Yamagata_2010","","",""
"1437_Yamagata_2013","","",""
"1469_Yamagata_2001","","",""
"148_Yamagata_2010","","",""
"1486_Yamagata_2003","","",""
"1496_Yamagata_2007","","",""
"1499_Yamagata_2013","","",""
"14QN_2010","","",""
"15_AUT2001","Unable to align: no seed matches","","<<ALL>>"
"15_YN_2007AFP.","","",""
"15/GD/China/2010","","",""
"1516_Yamagata_2012","","",""
"1518_Yamagata_2012","","",""
"1526_Yamagata_2003","","",""
"1545_Yamagata_2003","","",""
"157_Henan_2013","","",""
"1571_Henan_2012","","",""
"1573_Henan_2012","","",""
"1576_Henan_2012","","",""
"1586_Yamagata_2003","","",""
"158TS_SVN_11","","",""
"16_Henan_2014","","",""
"160ZY_2010","","",""
"1613_Yamagata_2010","","",""
"1615_Yamagata_2012","","",""
"1618_Yamagata_2003","","",""
"1629_Yamagata_2003","","",""
"163_Henan_2014","","",""
"1647_Yamagata_2012","","",""
"1656_Yamagata_2012","","",""
"166/NC/CHN/2014","","",""
"1660_Yamagata_2012","","",""
"1669_Yamagata_2003","","",""
"167/NC/CHN/2014","","",""
"1670_Yamagata_2003","","",""
"1670_Yamagata_2012","","",""
"1682_Yamagata_2012","","",""
"1689_Yamagata_2012","","",""
"1698_Yamagata_2012","","",""
"1699_Yamagata_2012","","",""
"17_Henan_2014","","",""
"1701_Yamagata_2012","","",""
"1702_Yamagata_2010","","",""
"1717_Yamagata_2003","","",""
"173_Henan_2011","","",""
"174/NX/CHN/2008","","",""
"1749_Yamagata_2012","","",""
"1752_Yamagata_2003","","",""
"1766_Yamagata_2003","","",""
"1766_Yamagata_2012","","",""
"1767_Yamagata_2010","","",""
"1793_Yamagata_2009","","",""
"179sp/Ishikawa/JPN/2012","Unable to align: no seed matches","","<<ALL>>"
"17TR_2010","","",""
"18_2009","","",""
"18_Henan_2014","","",""
"1801_Yamagata_2010","","",""
"1808_Yamagata_2012","","",""
"1809_Yamagata_2012","","",""
"180ZY_2010","","",""
"1814_Yamagata_2003","","",""
"1816_Yamagata_2012","","",""
"1825_Yamagata_2009","","",""
"1828_Yamagata_2003","","",""
"183_YN_2010","","",""
"1831_Yamagata_2003","","",""
"1842_Yamagata_2012","","",""
"1843_Yamagata_2009","","",""
"1859_Yamagata_2003","","",""
"1859_Yamagata_2012","","",""
"1860_Yamagata_2003","","",""
"1866_Yamagata_2003","","",""
"1870_Yamagata_2012","","",""
"1873_Yamagata_2003","","",""
"1878_Yamagata_2012","","",""
"1879_Yamagata_2003","","",""
"1883_Yamagata_2003","","",""
"1888_Yamagata_2012","","",""
"1894_Yamagata_2009","","",""
"1898_Yamagata_2003","","",""
"1899_Yamagata_2003","","",""
"189GY_2010","","",""
"18BJ_2010","","",""
"19/GD/China/2010","","",""
"1901_Luan_CHN__08","","",""
"1905_Yamagata_2003","","",""
"1929_Yamagata_2007","","",""
"1930_Yamagata_2009","","",""
"1934_Yamagata_2003","","",""
"1977_Yamagata_2012","","",""
"1983_Yamagata_2009","","",""
"1990_Yamagata_2003","","",""
"1M_AUS_12_00","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2_Henan_2014","","",""
"20_Henan_2014","","",""
"20_ZZ/HN/CHN/2010","","",""
"2000_Yamagata_2012","","",""
"2007_07364","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2007_08747","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2008_00643","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2008_01","","",""
"2008_02","","",""
"2008_05","","",""
"2008_07776","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2008_10","","",""
"2008_13","","",""
"2008_Yamagata_2010","","",""
"2009_02877","Unable to align: no seed matches","","<<ALL>>"
"2009_02998","","",""
"2009_03000","","",""
"2009_03531","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2009_05","","",""
"2009_05486","","",""
"2009_07","","",""
"2009_09","","",""
"2009_10657","","",""
"2009_11","","",""
"2009_14","","",""
"201/LY/CHN/AM/10/EV71","","",""
"201/NX/CHN/2008","","",""
"2010_00021","","",""
"2010_00026","","",""
"2010_01027","","",""
"2010_01372","","",""
"2010_03","","",""
"2010_05395","","",""
"2010_06226","","",""
"2010_08","","",""
"2010_13","","",""
"2010_14","","",""
"2010_EV71_1006_2010","","",""
"2010_EV71_1040_2010","","",""
"2010_EV71_127_2010","","",""
"2010_EV71_133_2010","","",""
"2010_EV71_24_2010","","",""
"2010_EV71_261_2010","","",""
"2010_EV71_263_2010","","",""
"2010_EV71_286_2010","","",""
"2010_EV71_330_2010","","",""
"2010_EV71_337_2010","","",""
"2010_EV71_424_2010","","",""
"2010_EV71_486_2010","","",""
"2010_EV71_495_2010","","",""
"2010_EV71_531_2010","","",""
"2010_EV71_546_2010","","",""
"2010_EV71_563_2010","","",""
"2010_EV71_576_2010","","",""
"2010_EV71_599_2010","","",""
"2010_EV71_667_2010","","",""
"2010_EV71_680_2010","","",""
"2010_EV71_77_2010","","",""
"2010_EV71_801_2010","","",""
"2010_EV71_936_2010","","",""
"2010082","","",""
"2010083","","",""
"2010157","","",""
"2010FJLY008","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2011_08128","","",""
"201101","","",""
"201103","","",""
"201104","","",""
"201106","","",""
"201108","","",""
"202/Jingdezhen/China/HFMD_Severe/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"202TS_SVN_11","","",""
"2035_Yamagata_2003","","",""
"2049_Yamagata_2012","","",""
"2051/Astrahan.RUS/2013","","",""
"2065_Yamagata_2003","","",""
"2068_Yamagata_2012","","",""
"207/NX/CHN/2008","","",""
"2093_Yamagata_2012","","",""
"21_AUT2002","Unable to align: no seed matches","","<<ALL>>"
"210/GD/China/2010","","",""
"2102_Yamagata_2003","","",""
"2206_Yamagata_2003","","",""
"223_Yamagata_2010","","",""
"2243_Yamagata_2009","","",""
"2255_Yamagata_2009","","",""
"226_15/Omsk.RUS/2014","","",""
"226/HZ/GD/CHN","","",""
"2322_Yamagata_2009","","",""
"236_TW_86","Unable to align: no seed matches","","<<ALL>>"
"236_TW86","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"237_TW86","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"238_TW86","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2397_Yamagata_2012","","",""
"23BJ_2010","","",""
"24/HeB/CHN/2008","","",""
"2419_Yamagata_2012","","",""
"244_TW86","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"2456/Krasnodar.RUS/2013","","",""
"2457_Yamagata_2012","","",""
"252_TW86","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"252GY_2010","","",""
"2534_Yamagata_2009","","",""
"258/Bulgaria_75","Unable to align: no seed matches","","<<ALL>>"
"266_TW86","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"26M/AUS/4/99","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"26M/AUS/4/99/GuaR1","Unable to align: no seed matches","","<<ALL>>"
"26M/AUS/4/99/GuaR2","Unable to align: no seed matches","","<<ALL>>"
"26M/AUS/4/99/GuaR3","Unable to align: no seed matches","","<<ALL>>"
"273","Unable to align: no seed matches","","<<ALL>>"
"27578_EV71_RUS_2007","Unable to align: no seed matches","","<<ALL>>"
"27578_RUS_2007","","",""
"28_2BJ_2010","","",""
